Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 88/ 58/ 7 (C),0,0,-19.92,1.24,0,3.85
 89/ 24/ 6 (C),546.51,15.59,3.13,-0.51,22.05,2.8
 89/ 24/ 7 (C),361.03,9.7,2,-0.33,13.71,2.8
 89/ 58/ 6 (C),531.39,15.59,3.13,-0.51,-21.59,2.8
 89/ 58/ 7 (C),349.83,9.7,2,-0.33,-13.46,2.8
 90/ 56/ 6 (C),0,0,-0.68,1.32,0,3.7
 90/ 56/ 7 (C),0,0,-0.63,0.89,0,3.7
 90/ 57/ 6 (C),0,0,-76.99,1.32,0,3.7
 90/ 57/ 7 (C),0,0,-50.28,0.89,0,3.7
 91/ 23/ 6 (C),763.07,10.53,-3.71,-0.51,15.03,2.8
 91/ 23/ 7 (C),501.99,6.46,-2.38,-0.33,9.21,2.8
 91/ 57/ 6 (C),747.95,10.53,-3.71,-0.51,-14.46,2.8
 91/ 57/ 7 (C),490.79,6.46,-2.38,-0.33,-8.87,2.8
 92/ 55/ 6 (C),0,0,72.13,0.67,0,3.675
 92/ 55/ 7 (C),0,0,47.05,0.35,0,3.675
 92/ 56/ 6 (C),0,0,-3.32,0.67,0,3.675
 92/ 56/ 7 (C),0,0,-2.05,0.35,0,3.675
 93/ 21/ 6 (C),332.19,8.81,38.21,-0.51,12.94,2.8
 93/ 21/ 7 (C),219.56,5.12,25.01,-0.33,7.5,2.8
 93/ 56/ 6 (C),317.07,8.81,38.21,-0.51,-11.74,2.8
 93/ 56/ 7 (C),208.36,5.12,25.01,-0.33,-6.84,2.8
 94/ 20/ 6 (C),490.86,8.79,-39.51,-0.51,12.69,2.8
 94/ 20/ 7 (C),327.16,5.6,-25.73,-0.33,8.08,2.8
 94/ 55/ 6 (C),475.74,8.79,-39.51,-0.51,-11.93,2.8
 94/ 55/ 7 (C),315.96,5.6,-25.73,-0.33,-7.6,2.8
 95/ 53/ 6 (C),0,0,-42.05,1.77,0,3.775
 95/ 53/ 7 (C),0,0,-28.01,0.98,0,3.775
 95/ 54/ 6 (C),0,0,-120.74,1.77,0,3.775
 95/ 54/ 7 (C),0,0,-79.16,0.98,0,3.775
 96/ 46/ 6 (C),0,0,33.44,1.94,0,3.525
 96/ 46/ 7 (C),0,0,21.8,1.34,0,3.525
 96/ 54/ 6 (C),0,0,-36.95,1.94,0,3.525
 96/ 54/ 7 (C),0,0,-24.09,1.34,0,3.525
 97/ 52/ 6 (C),0,0,64.19,13.2,0,2.15
 97/ 52/ 7 (C),0,0,42.74,8.45,0,2.15
 97/ 53/ 6 (C),0,0,32.35,13.2,0,2.15
 97/ 53/ 7 (C),0,0,21.48,8.45,0,2.15
 98/ 44/ 6 (C),0,0,52.48,2.37,0,3.525
 98/ 44/ 7 (C),0,0,33.63,1.71,0,3.525
 98/ 53/ 6 (C),0,0,-57.41,2.37,0,3.525
 98/ 53/ 7 (C),0,0,-36.23,1.71,0,3.525
 99/ 51/ 6 (C),0,0,165.48,-18.92,0,1.825
 99/ 51/ 7 (C),0,0,108.33,-11.79,0,1.825
 99/ 52/ 6 (C),0,0,140.67,-18.92,0,1.825
 99/ 52/ 7 (C),0,0,91.63,-11.79,0,1.825
 100/ 43/ 6 (C),0,0,31.19,-24.71,0,3.525
 100/ 43/ 7 (C),0,0,19.62,-16.11,0,3.525
 100/ 52/ 6 (C),0,0,-76.48,-24.71,0,3.525
 100/ 52/ 7 (C),0,0,-48.88,-16.11,0,3.525
 101/ 50/ 6 (C),0,0,21.44,-42.71,0,2
 101/ 50/ 7 (C),0,0,13.81,-28.03,0,2
 101/ 51/ 6 (C),0,0,-13.19,-42.71,0,2
 101/ 51/ 7 (C),0,0,-9.01,-28.03,0,2
 102/ 49/ 6 (C),0,0,-78.55,-2.39,0,1.225
 102/ 49/ 7 (C),0,0,-51.41,-1.84,0,1.225
 102/ 50/ 6 (C),0,0,-98.08,-2.39,0,1.225
 102/ 50/ 7 (C),0,0,-64.36,-1.84,0,1.225
 103/ 17/ 6 (C),761.15,1.23,11.17,-0.13,0.35,3.05
 103/ 17/ 7 (C),503.65,0.85,7.38,-0.08,0.27,3.05
 103/ 50/ 6 (C),744.68,1.23,11.17,-0.13,-3.42,3.05
 103/ 50/ 7 (C),491.45,0.85,7.38,-0.08,-2.31,3.05
 104/ 48/ 6 (C),0,0,-33.42,12.7,0,2.35
 104/ 48/ 7 (C),0,0,-21.96,8.16,0,2.35
 104/ 49/ 6 (C),0,0,-69.99,12.7,0,2.35
 104/ 49/ 7 (C),0,0,-46.27,8.16,0,2.35
 105/ 40/ 6 (C),0,0,74.23,28.2,0,2.7
 105/ 40/ 7 (C),0,0,47.54,18.38,0,2.7
 105/ 49/ 6 (C),0,0,-8.57,28.2,0,2.7
 105/ 49/ 7 (C),0,0,-5.13,18.38,0,2.7
 106/ 47/ 6 (C),0,0,116.61,-3.5,0,2.675
 106/ 47/ 7 (C),0,0,76.83,-2.08,0,2.675
 106/ 48/ 6 (C),0,0,71.72,-3.5,0,2.675
 106/ 48/ 7 (C),0,0,47.18,-2.08,0,2.675
 107/ 34/ 6 (C),0,0,70.37,-1.75,0,4.325
 107/ 34/ 7 (C),0,0,44.69,-1.16,0,4.325
 107/ 48/ 6 (C),0,0,-74.28,-1.75,0,4.325
 107/ 48/ 7 (C),0,0,-46.98,-1.16,0,4.325
 108/ 33/ 6 (C),0,0,45.31,0.82,0,4.325
 108/ 33/ 7 (C),0,0,29.46,0.45,0,4.325
 108/ 47/ 6 (C),0,0,-43.82,0.82,0,4.325
 108/ 47/ 7 (C),0,0,-28.53,0.45,0,4.325
 109/ 45/ 6 (C),0,0,-50.3,-18.23,0,2.775
 109/ 45/ 7 (C),0,0,-34.17,-11.99,0,2.775
 109/ 46/ 6 (C),0,0,-143.22,-18.23,0,2.775
 109/ 46/ 7 (C),0,0,-93.05,-11.99,0,2.775
 110/ 39/ 6 (C),0,0,-35.64,12.55,0,2.45
 110/ 39/ 7 (C),0,0,-23.42,8.27,0,2.45
 110/ 46/ 6 (C),0,0,-74.69,12.55,0,2.45
 110/ 46/ 7 (C),0,0,-49.32,8.27,0,2.45
 111/ 44/ 6 (C),0,0,-24.43,-11.21,0,1
 111/ 44/ 7 (C),0,0,-14.93,-7.24,0,1
 111/ 45/ 6 (C),0,0,-45.02,-11.21,0,1
 111/ 45/ 7 (C),0,0,-28.33,-7.24,0,1
 112/ 38/ 6 (C),0,0,83.6,24.19,0,2.45
 112/ 38/ 7 (C),0,0,54.5,15.7,0,2.45
 112/ 45/ 6 (C),0,0,26.58,24.19,0,2.45
 112/ 45/ 7 (C),0,0,17.7,15.7,0,2.45
 113/ 43/ 6 (C),0,0,76.26,-7.53,0,2.15
 113/ 43/ 7 (C),0,0,49.89,-4.83,0,2.15
 113/ 44/ 6 (C),0,0,28.05,-7.53,0,2.15
 113/ 44/ 7 (C),0,0,18.7,-4.83,0,2.15
 114/ 41/ 6 (C),0,0,130.91,-56.7,0,1.175
 114/ 41/ 7 (C),0,0,84.81,-37.04,0,1.175
 114/ 43/ 6 (C),0,0,107.44,-56.7,0,1.175
 114/ 43/ 7 (C),0,0,69.51,-37.04,0,1.175
 115/ 41/ 6 (C),0,0,-124.21,-47.32,0,1.8
 115/ 41/ 7 (C),0,0,-79.92,-30.7,0,1.8
 115/ 42/ 6 (C),0,0,-173.74,-47.32,0,1.8
 115/ 42/ 7 (C),0,0,-111.59,-30.7,0,1.8
 116/ 37/ 6 (C),0,0,-113.27,50.45,0,1.275
 116/ 37/ 7 (C),0,0,-73.32,32.48,0,1.275
 116/ 42/ 6 (C),0,0,-143.56,50.45,0,1.275
 116/ 42/ 7 (C),0,0,-92.85,32.48,0,1.275
 117/ 40/ 6 (C),0,0,116.51,24.95,0,3.05
 117/ 40/ 7 (C),0,0,74.27,16.19,0,3.05
 117/ 41/ 6 (C),0,0,6.7,24.95,0,3.05
 117/ 41/ 7 (C),0,0,4.89,16.19,0,3.05
 118/ 35/ 6 (C),0,0,-70.66,-47.02,0,1.625
 118/ 35/ 7 (C),0,0,-46,-30.4,0,1.625
 118/ 40/ 6 (C),0,0,-119.72,-47.02,0,1.625
 118/ 40/ 7 (C),0,0,-77.23,-30.4,0,1.625
 119/ 13/ 6 (C),1470.43,0.32,-8.69,-0.13,-0.46,3.05
 119/ 13/ 7 (C),957.21,0.24,-5.42,-0.08,-0.26,3.05
 119/ 40/ 6 (C),1453.96,0.32,-8.69,-0.13,-1.42,3.05
 119/ 40/ 7 (C),945.01,0.24,-5.42,-0.08,-1,3.05
 120/ 38/ 6 (C),0,0,4.92,-14.19,0,2.775
 120/ 38/ 7 (C),0,0,2.81,-9.23,0,2.775
 120/ 39/ 6 (C),0,0,-76.42,-14.19,0,2.775
 120/ 39/ 7 (C),0,0,-49.05,-9.23,0,2.775
 121/ 36/ 6 (C),0,0,525.07,21.83,0,0.4
 121/ 36/ 7 (C),0,0,347.72,14.07,0,0.4
 121/ 39/ 6 (C),0,0,521.17,21.83,0,0.4
 121/ 39/ 7 (C),0,0,344.99,14.07,0,0.4
 122/ 37/ 6 (C),0,0,117.22,53.18,0,1.35
 122/ 37/ 7 (C),0,0,75.94,34.75,0,1.35
 122/ 38/ 6 (C),0,0,88.52,53.18,0,1.35
 122/ 38/ 7 (C),0,0,57.31,34.75,0,1.35
 123/ 30/ 6 (C),0,0,60.47,-8.69,0,2
 123/ 30/ 7 (C),0,0,38.73,-5.69,0,2
 123/ 37/ 6 (C),0,0,3.95,-8.69,0,2
 123/ 37/ 7 (C),0,0,2.62,-5.69,0,2
 124/ 32/ 6 (C),0,0,-61.57,1.95,0,1.6
 124/ 32/ 7 (C),0,0,-40.67,1.31,0,1.6
 124/ 36/ 6 (C),0,0,-86.17,1.95,0,1.6
 124/ 36/ 7 (C),0,0,-57.05,1.31,0,1.6
 125/ 34/ 6 (C),0,0,-52.24,-9.72,0,2.35
 125/ 34/ 7 (C),0,0,-34.59,-6.21,0,2.35
 125/ 35/ 6 (C),0,0,-112.78,-9.72,0,2.35
 125/ 35/ 7 (C),0,0,-73.45,-6.21,0,2.35
 126/ 28/ 6 (C),0,0,83.89,23.01,0,1.65
 126/ 28/ 7 (C),0,0,54.28,15.18,0,1.65
 126/ 35/ 6 (C),0,0,42.12,23.01,0,1.65
 126/ 35/ 7 (C),0,0,27.45,15.18,0,1.65
 127/ 33/ 6 (C),0,0,135.84,4.94,0,2.675
 127/ 33/ 7 (C),0,0,88.25,3.13,0,2.675
 127/ 34/ 6 (C),0,0,62.95,4.94,0,2.675
 127/ 34/ 7 (C),0,0,41.61,3.13,0,2.675
 128/ 26/ 6 (C),0,0,12.24,-7.45,0,1.65
 128/ 26/ 7 (C),0,0,8.33,-5.03,0,1.65
 128/ 33/ 6 (C),0,0,-9.11,-7.45,0,1.65
 128/ 33/ 7 (C),0,0,-6.11,-5.03,0,1.65
 129/ 31/ 6 (C),0,0,13.24,1.35,0,2.775
 129/ 31/ 7 (C),0,0,8.4,0.75,0,2.775
 129/ 32/ 6 (C),0,0,-68.49,1.35,0,2.775
 129/ 32/ 7 (C),0,0,-43.7,0.75,0,2.775
 130/ 25/ 6 (C),0,0,34.99,4.05,0,3.725
 130/ 25/ 7 (C),0,0,22.85,2.57,0,3.725
 130/ 32/ 6 (C),0,0,-38.8,4.05,0,3.725
 130/ 32/ 7 (C),0,0,-25.29,2.57,0,3.725
 131/ 30/ 6 (C),0,0,104.43,-17.6,0,1.35
 131/ 30/ 7 (C),0,0,66.5,-11.19,0,1.35
 131/ 31/ 6 (C),0,0,68.9,-17.6,0,1.35
 131/ 31/ 7 (C),0,0,43.72,-11.19,0,1.35
 132/ 24/ 6 (C),0,0,70.16,-6.11,0,3.725
 132/ 24/ 7 (C),0,0,44.38,-3.9,0,3.725
 132/ 31/ 6 (C),0,0,-55.66,-6.11,0,3.725
 132/ 31/ 7 (C),0,0,-35.33,-3.9,0,3.725
 133/ 9/ 6 (C),1125.84,3.19,-7.44,-0.13,1.97,3.05
 133/ 9/ 7 (C),731.67,2.07,-4.8,-0.08,1.28,3.05
 133/ 30/ 6 (C),1109.37,3.19,-7.44,-0.13,-7.76,3.05
 133/ 30/ 7 (C),719.47,2.07,-4.8,-0.08,-5.04,3.05
 134/ 29/ 6 (C),0,0,40.89,7.64,0,2.5
 134/ 29/ 7 (C),0,0,25.73,4.86,0,2.5
 134/ 30/ 6 (C),0,0,-59.14,7.64,0,2.5
 134/ 30/ 7 (C),0,0,-37.22,4.86,0,2.5
 135/ 8/ 6 (C),859.72,-5.87,-2.82,-0.13,-6.99,3.05
 135/ 8/ 7 (C),558.03,-3.69,-1.83,-0.08,-4.41,3.05
 135/ 29/ 6 (C),843.25,-5.87,-2.82,-0.13,10.92,3.05
 135/ 29/ 7 (C),545.83,-3.69,-1.83,-0.08,6.84,3.05
 136/ 28/ 6 (C),0,0,69.21,-6.93,0,2.35
 136/ 28/ 7 (C),0,0,43.82,-4.4,0,2.35
 136/ 29/ 6 (C),0,0,-21.93,-6.93,0,2.35
 136/ 29/ 7 (C),0,0,-13.6,-4.4,0,2.35
 137/ 23/ 6 (C),0,0,59.79,5.14,0,3.725
 137/ 23/ 7 (C),0,0,37.72,3.36,0,3.725
 137/ 29/ 6 (C),0,0,-69.42,5.14,0,3.725
 137/ 29/ 7 (C),0,0,-44.04,3.36,0,3.725
 138/ 7/ 6 (C),1358.65,2.75,11.21,-0.13,2.02,3.05
 138/ 7/ 7 (C),883.01,1.8,7.2,-0.08,1.32,3.05
 138/ 28/ 6 (C),1342.18,2.75,11.21,-0.13,-6.38,3.05
 138/ 28/ 7 (C),870.81,1.8,7.2,-0.08,-4.16,3.05
 139/ 27/ 6 (C),0,0,-95.68,32.62,0,1.35
 139/ 27/ 7 (C),0,0,-60.78,21.06,0,1.35
 139/ 28/ 6 (C),0,0,-130.06,32.62,0,1.35
 139/ 28/ 7 (C),0,0,-82.86,21.06,0,1.35
 140/ 26/ 6 (C),0,0,91.23,-8.23,0,3.675
 140/ 26/ 7 (C),0,0,58.2,-5.32,0,3.675
 140/ 27/ 6 (C),0,0,-24.6,-8.23,0,3.675
 140/ 27/ 7 (C),0,0,-15.39,-5.32,0,3.675
 141/ 21/ 6 (C),0,0,58.12,-7.85,0,3.725
 141/ 21/ 7 (C),0,0,36.37,-5.32,0,3.725
 141/ 27/ 6 (C),0,0,-71.08,-7.85,0,3.725
 141/ 27/ 7 (C),0,0,-45.39,-5.32,0,3.725
 142/ 20/ 6 (C),0,0,37.45,3.45,0,3.725
 142/ 20/ 7 (C),0,0,24.34,2.36,0,3.725
 142/ 26/ 6 (C),0,0,-39.72,3.45,0,3.725
 142/ 26/ 7 (C),0,0,-25.85,2.36,0,3.725
 143/ 24/ 6 (C),0,0,29.65,-2.83,0,2.775
 143/ 24/ 7 (C),0,0,19.51,-1.73,0,2.775
 143/ 25/ 6 (C),0,0,-17.96,-2.83,0,2.775
 143/ 25/ 7 (C),0,0,-11.89,-1.73,0,2.775
 144/ 4/ 6 (C),712.73,8.76,1.83,-0.13,7.5,3.05
 144/ 4/ 7 (C),469.61,5.54,1.16,-0.08,4.72,3.05
 144/ 24/ 6 (C),696.26,8.76,1.83,-0.13,-19.23,3.05
 144/ 24/ 7 (C),457.41,5.54,1.16,-0.08,-12.18,3.05
 145/ 23/ 6 (C),0,0,31.57,1.85,0,3.85
 145/ 23/ 7 (C),0,0,20.44,1.19,0,3.85
 145/ 24/ 6 (C),0,0,-49.94,1.85,0,3.85
 145/ 24/ 7 (C),0,0,-32.5,1.19,0,3.85
 146/ 3/ 6 (C),797.37,5.97,-11.66,-0.13,5.05,3.05
 146/ 3/ 7 (C),524.11,3.73,-7.63,-0.08,3.13,3.05
 146/ 23/ 6 (C),780.9,5.97,-11.66,-0.13,-13.16,3.05
 146/ 23/ 7 (C),511.91,3.73,-7.63,-0.08,-8.26,3.05
 147/ 22/ 6 (C),0,0,127.06,3.24,0,2.35
 147/ 22/ 7 (C),0,0,82.84,2.09,0,2.35
 147/ 23/ 6 (C),0,0,73.52,3.24,0,2.35
 147/ 23/ 7 (C),0,0,48.24,2.09,0,2.35
 148/ 21/ 6 (C),0,0,-354.92,-2.88,0,1.35
 148/ 21/ 7 (C),0,0,-232.6,-1.63,0,1.35
 148/ 22/ 6 (C),0,0,-377.7,-2.88,0,1.35
 148/ 22/ 7 (C),0,0,-247.64,-1.63,0,1.35
 149/ 2/ 6 (C),521.23,2.63,34.16,-0.13,1.89,3.05
 149/ 2/ 7 (C),342.68,1.58,22.4,-0.08,1.1,3.05
 149/ 22/ 6 (C),504.76,2.63,34.16,-0.13,-6.12,3.05
 149/ 22/ 7 (C),330.48,1.58,22.4,-0.08,-3.72,3.05
 150/ 20/ 6 (C),0,0,110.84,0.89,0,3.675
 150/ 20/ 7 (C),0,0,72.43,0.44,0,3.675
 150/ 21/ 6 (C),0,0,35.38,0.89,0,3.675
 150/ 21/ 7 (C),0,0,23.33,0.44,0,3.675
 151/ 185/ 6 (C),0.01,0,-22.83,-0.05,0,3.775
 151/ 185/ 7 (C),0,0,-13.8,-0.01,0,3.775
 151/ 186/ 6 (C),0.01,0,-96.19,-0.05,0,3.775
 151/ 186/ 7 (C),0,0,-63.89,-0.01,0,3.775
 152/ 178/ 6 (C),0,0,25.9,4.44,0,3.525
 152/ 178/ 7 (C),0,0,18.07,3.02,0,3.525
 152/ 186/ 6 (C),0,0,-39.83,4.44,0,3.525
 152/ 186/ 7 (C),0,0,-26.89,3.02,0,3.525
 153/ 153/ 6 (C),151.14,-18.15,68.59,-0.52,-23.22,2.8
 153/ 153/ 7 (C),101.98,-11.94,45.07,-0.34,-15.18,2.8
 153/ 186/ 6 (C),136.02,-18.15,68.59,-0.52,27.59,2.8
 153/ 186/ 7 (C),90.78,-11.94,45.07,-0.34,18.25,2.8
 154/ 184/ 6 (C),0,0,47.72,13.45,0,2.15
 154/ 184/ 7 (C),0,0,30.86,8.98,0,2.15
 154/ 185/ 6 (C),0,0,17.6,13.45,0,2.15
 154/ 185/ 7 (C),0,0,9.94,8.98,0,2.15
 155/ 176/ 6 (C),0,0,50.47,-1.19,0,3.525
 155/ 176/ 7 (C),0,0,34.14,-1.01,0,3.525
 155/ 185/ 6 (C),0,0,-50.81,-1.19,0,3.525
 155/ 185/ 7 (C),0,0,-34,-1.01,0,3.525
 156/ 152/ 6 (C),25.5,-15.14,-1.22,-0.52,-19.4,2.8
 156/ 152/ 7 (C),21.45,-9.75,-0.65,-0.34,-12.21,2.8
 156/ 185/ 6 (C),10.38,-15.14,-1.22,-0.52,22.99,2.8
 156/ 185/ 7 (C),10.25,-9.75,-0.65,-0.34,15.09,2.8
 157/ 183/ 6 (C),0.01,0,141.66,-19.36,0,1.825
 157/ 183/ 7 (C),0,0,94.63,-13.01,0,1.825
 157/ 184/ 6 (C),0.01,0,118.1,-19.36,0,1.825
 157/ 184/ 7 (C),0,0,78.18,-13.01,0,1.825
 158/ 175/ 6 (C),0,0,28.89,-24.79,0,3.525
 158/ 175/ 7 (C),0,0,19.51,-16.49,0,3.525
 158/ 184/ 6 (C),0,0,-70.39,-24.79,0,3.525
 158/ 184/ 7 (C),0,0,-47.32,-16.49,0,3.525
 159/ 182/ 6 (C),0,0,28,-48.51,0,2
 159/ 182/ 7 (C),0,0,19.14,-32.21,0,2
 159/ 183/ 6 (C),0,0,-4.52,-48.51,0,2
 159/ 183/ 7 (C),0,0,-3.26,-32.21,0,2
 160/ 150/ 6 (C),161.3,-6.56,-76.45,-0.52,-8.71,2.8
 160/ 150/ 7 (C),109.09,-4.27,-50.35,-0.34,-5.59,2.8
 160/ 183/ 6 (C),146.18,-6.56,-76.45,-0.52,9.66,2.8
 160/ 183/ 7 (C),97.89,-4.27,-50.35,-0.34,6.36,2.8
 161/ 181/ 6 (C),0,0,-72.34,8.61,0,1.225
 161/ 181/ 7 (C),0,0,-48.13,5.62,0,1.225
 161/ 182/ 6 (C),0,0,-90.74,8.61,0,1.225
 161/ 182/ 7 (C),0,0,-60.85,5.62,0,1.225
 162/ 149/ 6 (C),149.08,0.81,21.36,-0.52,0.95,2.8
 162/ 149/ 7 (C),101.12,0.67,14.18,-0.34,0.79,2.8
 162/ 182/ 6 (C),133.96,0.81,21.36,-0.52,-1.3,2.8
 162/ 182/ 7 (C),89.92,0.67,14.18,-0.34,-1.09,2.8
 163/ 180/ 6 (C),0,0,-15.14,7.58,0,2.35
 163/ 180/ 7 (C),0,0,-9.08,5.17,0,2.35
 163/ 181/ 6 (C),0,0,-49.64,7.58,0,2.35
 163/ 181/ 7 (C),0,0,-32.98,5.17,0,2.35
 164/ 172/ 6 (C),0,0,53.64,27.02,0,2.7
 164/ 172/ 7 (C),0,0,36.24,18.09,0,2.7
 164/ 181/ 6 (C),0,0,-22.7,27.02,0,2.7
 164/ 181/ 7 (C),0,0,-15.15,18.09,0,2.7
 165/ 179/ 6 (C),0,0,83.61,-1.88,0,2.675
 165/ 179/ 7 (C),0,0,55.53,-1.18,0,2.675
 165/ 180/ 6 (C),0,0,41.4,-1.88,0,2.675
 165/ 180/ 7 (C),0,0,26.41,-1.18,0,2.675
 166/ 167/ 6 (C),0,0,64.93,-0.5,0,4.325
 166/ 167/ 7 (C),0,0,43.75,-0.36,0,4.325
 166/ 180/ 6 (C),0,0,-68.18,-0.5,0,4.325
 166/ 180/ 7 (C),0,0,-45.61,-0.36,0,4.325
 167/ 147/ 6 (C),26.75,-22.93,-17.8,-0.52,-29.22,2.8
 167/ 147/ 7 (C),21.31,-14.86,-11.67,-0.34,-18.67,2.8
 167/ 180/ 6 (C),11.63,-22.93,-17.8,-0.52,34.98,2.8
 167/ 180/ 7 (C),10.11,-14.86,-11.67,-0.34,22.92,2.8
 168/ 166/ 6 (C),0,0,42.49,0.73,0,4.325
 168/ 166/ 7 (C),0,0,29.08,0.43,0,4.325
 168/ 179/ 6 (C),0,0,-40.65,0.73,0,4.325
 168/ 179/ 7 (C),0,0,-27.71,0.43,0,4.325
 169/ 146/ 6 (C),139.38,-15.55,-49.75,-0.52,-19.41,2.8
 169/ 146/ 7 (C),94.44,-10.32,-32.72,-0.34,-12.73,2.8
 169/ 179/ 6 (C),124.26,-15.55,-49.75,-0.52,24.12,2.8
 169/ 179/ 7 (C),83.24,-10.32,-32.72,-0.34,16.16,2.8
 170/ 177/ 6 (C),0,0,-17.25,-11.61,0,2.775
 170/ 177/ 7 (C),0,0,-9.77,-7.5,0,2.775
 170/ 178/ 6 (C),0,0,-102.75,-11.61,0,2.775
 170/ 178/ 7 (C),0,0,-67.17,-7.5,0,2.775
 171/ 171/ 6 (C),0,0,8.38,11.44,0,2.45
 171/ 171/ 7 (C),0,0,5.96,7.3,0,2.45
 171/ 178/ 6 (C),0,0,-28.41,11.44,0,2.45
 171/ 178/ 7 (C),0,0,-19.5,7.3,0,2.45
 172/ 145/ 6 (C),172.18,-4.03,59.44,-0.52,-5.92,2.8
 172/ 145/ 7 (C),115.94,-2.65,38.72,-0.34,-3.92,2.8
 172/ 178/ 6 (C),157.06,-4.03,59.44,-0.52,5.36,2.8
 172/ 178/ 7 (C),104.74,-2.65,38.72,-0.34,3.49,2.8
 173/ 176/ 6 (C),0,0,-38.24,-12.69,0,1
 173/ 176/ 7 (C),0,0,-27,-8.94,0,1
 173/ 177/ 6 (C),0,0,-57.44,-12.69,0,1
 173/ 177/ 7 (C),0,0,-40.12,-8.94,0,1
 174/ 170/ 6 (C),0,0,66.92,17.92,0,2.45
 174/ 170/ 7 (C),0,0,43.97,11.99,0,2.45
 174/ 177/ 6 (C),0,0,13.95,17.92,0,2.45
 174/ 177/ 7 (C),0,0,7.97,11.99,0,2.45
 175/ 144/ 6 (C),41.36,31.76,34.9,-0.52,41.78,2.8
 175/ 144/ 7 (C),33.57,20.7,22.92,-0.34,27.31,2.8
 175/ 177/ 6 (C),26.24,31.76,34.9,-0.52,-47.15,2.8
 175/ 177/ 7 (C),22.37,20.7,22.92,-0.34,-30.65,2.8
 176/ 175/ 6 (C),0,0,57.07,-3.8,0,2.15
 176/ 175/ 7 (C),0,0,37.66,-2.59,0,2.15
