Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 176/ 176/ 6 (C),0,0,12.23,-3.8,0,2.15
 176/ 176/ 7 (C),0,0,7.14,-2.59,0,2.15
 177/ 173/ 6 (C),0,0,107.87,-41.59,0,1.175
 177/ 173/ 7 (C),0,0,72.15,-27.1,0,1.175
 177/ 175/ 6 (C),0,0,85.96,-41.59,0,1.175
 177/ 175/ 7 (C),0,0,57.17,-27.1,0,1.175
 178/ 173/ 6 (C),0,0,-101.71,-37.7,0,1.8
 178/ 173/ 7 (C),0,0,-67.86,-25.22,0,1.8
 178/ 174/ 6 (C),0,0,-147.5,-37.7,0,1.8
 178/ 174/ 7 (C),0,0,-98.79,-25.22,0,1.8
 179/ 169/ 6 (C),0,0,-89.41,47.4,0,1.275
 179/ 169/ 7 (C),0,0,-59.53,31.89,0,1.275
 179/ 174/ 6 (C),0,0,-117.54,47.4,0,1.275
 179/ 174/ 7 (C),0,0,-78.62,31.89,0,1.275
 180/ 141/ 6 (C),285.46,-12.81,34.74,-0.52,-16.64,2.8
 180/ 141/ 7 (C),192.07,-8.46,22.86,-0.34,-10.87,2.8
 180/ 174/ 6 (C),270.34,-12.81,34.74,-0.52,19.23,2.8
 180/ 174/ 7 (C),180.87,-8.46,22.86,-0.34,12.83,2.8
 181/ 172/ 6 (C),0,0,107.05,20.79,0,3.05
 181/ 172/ 7 (C),0,0,71.89,13.78,0,3.05
 181/ 173/ 6 (C),0,0,6.16,20.79,0,3.05
 181/ 173/ 7 (C),0,0,4.29,13.78,0,3.05
 182/ 168/ 6 (C),0,0,-46.32,-37.35,0,1.625
 182/ 168/ 7 (C),0,0,-30.76,-24.83,0,1.625
 182/ 172/ 6 (C),0,0,-91.57,-37.35,0,1.625
 182/ 172/ 7 (C),0,0,-61.23,-24.83,0,1.625
 183/ 139/ 6 (C),267.39,-4.77,-26.67,-0.52,-6.26,2.8
 183/ 139/ 7 (C),180.55,-3.03,-17.54,-0.34,-3.99,2.8
 183/ 172/ 6 (C),252.27,-4.77,-26.67,-0.52,7.09,2.8
 183/ 172/ 7 (C),169.35,-3.03,-17.54,-0.34,4.49,2.8
 184/ 170/ 6 (C),0,0,6.02,-16.32,0,2.775
 184/ 170/ 7 (C),0,0,4.43,-10.56,0,2.775
 184/ 171/ 6 (C),0,0,-69.05,-16.32,0,2.775
 184/ 171/ 7 (C),0,0,-46.17,-10.56,0,2.775
 185/ 165/ 6 (C),0,0,11.65,4.61,0,2
 185/ 165/ 7 (C),0,0,8.51,2.98,0,2
 185/ 171/ 6 (C),0,0,-15.35,4.61,0,2
 185/ 171/ 7 (C),0,0,-10.29,2.98,0,2
 186/ 138/ 6 (C),107.91,-1.97,32.59,-0.52,-2.76,2.8
 186/ 138/ 7 (C),73.62,-1.32,21.31,-0.34,-1.84,2.8
 186/ 171/ 6 (C),92.79,-1.97,32.59,-0.52,2.76,2.8
 186/ 171/ 7 (C),62.42,-1.32,21.31,-0.34,1.84,2.8
 187/ 169/ 6 (C),0,0,99.68,36.65,0,1.35
 187/ 169/ 7 (C),0,0,66.64,23.86,0,1.35
 187/ 170/ 6 (C),0,0,72.94,36.65,0,1.35
 187/ 170/ 7 (C),0,0,48.4,23.86,0,1.35
 188/ 163/ 6 (C),0,0,62.49,-1.06,0,2
 188/ 163/ 7 (C),0,0,42.36,-0.63,0,2
 188/ 169/ 6 (C),0,0,10.26,-1.06,0,2
 188/ 169/ 7 (C),0,0,7.11,-0.63,0,2
 189/ 167/ 6 (C),0,0,-19.31,-8.19,0,2.35
 189/ 167/ 7 (C),0,0,-11.71,-5.61,0,2.35
 189/ 168/ 6 (C),0,0,-75.39,-8.19,0,2.35
 189/ 168/ 7 (C),0,0,-49.68,-5.61,0,2.35
 190/ 161/ 6 (C),0,0,67.77,5.25,0,1.65
 190/ 161/ 7 (C),0,0,45.14,3.1,0,1.65
 190/ 168/ 6 (C),0,0,29.07,5.25,0,1.65
 190/ 168/ 7 (C),0,0,18.92,3.1,0,1.65
 191/ 166/ 6 (C),0,0,93.43,3.55,0,2.675
 191/ 166/ 7 (C),0,0,61.32,2.44,0,2.675
 191/ 167/ 6 (C),0,0,26.02,3.55,0,2.675
 191/ 167/ 7 (C),0,0,15.77,2.44,0,2.675
 192/ 134/ 6 (C),34.72,16.77,-11.78,-0.52,21.3,2.8
 192/ 134/ 7 (C),27.47,11.09,-7.6,-0.34,13.84,2.8
 192/ 167/ 6 (C),19.6,16.77,-11.78,-0.52,-25.66,2.8
 192/ 167/ 7 (C),16.27,11.09,-7.6,-0.34,-17.21,2.8
 193/ 159/ 6 (C),0,0,14.34,-2.13,0,1.65
 193/ 159/ 7 (C),0,0,9.69,-1.08,0,1.65
 193/ 166/ 6 (C),0,0,-5.99,-2.13,0,1.65
 193/ 166/ 7 (C),0,0,-4.55,-1.08,0,1.65
 194/ 133/ 6 (C),157.02,10.47,-49.14,-0.52,13.62,2.8
 194/ 133/ 7 (C),106.15,6.92,-32.01,-0.34,8.9,2.8
 194/ 166/ 6 (C),141.9,10.47,-49.14,-0.52,-15.7,2.8
 194/ 166/ 7 (C),94.95,6.92,-32.01,-0.34,-10.47,2.8
 195/ 164/ 6 (C),0,0,10,2.2,0,2.775
 195/ 164/ 7 (C),0,0,6.89,1.46,0,2.775
 195/ 165/ 6 (C),0,0,-65.43,2.2,0,2.775
 195/ 165/ 7 (C),0,0,-43.95,1.46,0,2.775
 196/ 158/ 6 (C),0,0,29,5.19,0,3.725
 196/ 158/ 7 (C),0,0,19.86,3.48,0,3.725
 196/ 165/ 6 (C),0,0,-39.93,5.19,0,3.725
 196/ 165/ 7 (C),0,0,-27.3,3.48,0,3.725
 197/ 132/ 6 (C),132.12,-12.3,24.59,-0.52,-16.4,2.8
 197/ 132/ 7 (C),90.96,-8.1,16.09,-0.34,-10.74,2.8
 197/ 165/ 6 (C),117,-12.3,24.59,-0.52,18.03,2.8
 197/ 165/ 7 (C),79.76,-8.1,16.09,-0.34,11.93,2.8
 198/ 163/ 6 (C),0,0,96.17,-17.25,0,1.35
 198/ 163/ 7 (C),0,0,64.99,-11.63,0,1.35
 198/ 164/ 6 (C),0,0,63.28,-17.25,0,1.35
 198/ 164/ 7 (C),0,0,42.75,-11.63,0,1.35
 199/ 157/ 6 (C),0,0,62.49,-4.76,0,3.725
 199/ 157/ 7 (C),0,0,41.83,-3.25,0,3.725
 199/ 164/ 6 (C),0,0,-53.27,-4.76,0,3.725
 199/ 164/ 7 (C),0,0,-35.86,-3.25,0,3.725
 200/ 162/ 6 (C),0,0,47.73,11.2,0,2.5
 200/ 162/ 7 (C),0,0,31.44,7.57,0,2.5
 200/ 163/ 6 (C),0,0,-43.98,11.2,0,2.5
 200/ 163/ 7 (C),0,0,-29.84,7.57,0,2.5
 201/ 130/ 6 (C),217.76,8.43,-19.34,-0.52,10.92,2.8
 201/ 130/ 7 (C),148.39,5.59,-12.81,-0.34,7.15,2.8
 201/ 163/ 6 (C),202.64,8.43,-19.34,-0.52,-12.68,2.8
 201/ 163/ 7 (C),137.19,5.59,-12.81,-0.34,-8.49,2.8
 202/ 161/ 6 (C),0,0,49.75,-8.39,0,2.35
 202/ 161/ 7 (C),0,0,33.69,-5.65,0,2.35
 202/ 162/ 6 (C),0,0,-33.86,-8.39,0,2.35
 202/ 162/ 7 (C),0,0,-22.22,-5.65,0,2.35
 203/ 156/ 6 (C),0,0,52.12,-3.62,0,3.725
 203/ 156/ 7 (C),0,0,34.89,-2.37,0,3.725
 203/ 162/ 6 (C),0,0,-66.68,-3.62,0,3.725
 203/ 162/ 7 (C),0,0,-44.79,-2.37,0,3.725
 204/ 129/ 6 (C),163.39,-16.88,-2.15,-0.52,-21.89,2.8
 204/ 129/ 7 (C),109.65,-11.1,-1.42,-0.34,-14.23,2.8
 204/ 162/ 6 (C),148.27,-16.88,-2.15,-0.52,25.36,2.8
 204/ 162/ 7 (C),98.45,-11.1,-1.42,-0.34,16.85,2.8
 205/ 160/ 6 (C),0,0,-88.28,26.25,0,1.35
 205/ 160/ 7 (C),0,0,-59.33,17.4,0,1.35
 205/ 161/ 6 (C),0,0,-120.13,26.25,0,1.35
 205/ 161/ 7 (C),0,0,-80.9,17.4,0,1.35
 206/ 128/ 6 (C),252.78,4.68,26.63,-0.52,6.37,2.8
 206/ 128/ 7 (C),170.93,3.03,17.51,-0.34,4.11,2.8
 206/ 161/ 6 (C),237.66,4.68,26.63,-0.52,-6.74,2.8
 206/ 161/ 7 (C),159.73,3.03,17.51,-0.34,-4.38,2.8
 207/ 159/ 6 (C),0,0,81.11,-6.03,0,3.675
 207/ 159/ 7 (C),0,0,54.41,-3.96,0,3.675
 207/ 160/ 6 (C),0,0,-25.62,-6.03,0,3.675
 207/ 160/ 7 (C),0,0,-17.37,-3.96,0,3.675
 208/ 155/ 6 (C),0,0,56.13,8.68,0,3.725
 208/ 155/ 7 (C),0,0,37.71,5.85,0,3.725
 208/ 160/ 6 (C),0,0,-62.66,8.68,0,3.725
 208/ 160/ 7 (C),0,0,-41.96,5.85,0,3.725
 209/ 154/ 6 (C),0,0,34.33,-0.84,0,3.725
 209/ 154/ 7 (C),0,0,23.35,-0.62,0,3.725
 209/ 159/ 6 (C),0,0,-37.63,-0.84,0,3.725
 209/ 159/ 7 (C),0,0,-25.79,-0.62,0,3.725
 210/ 126/ 6 (C),148.2,-4.68,-41.61,-0.52,-5.97,2.8
 210/ 126/ 7 (C),101.09,-3.17,-27.22,-0.34,-3.96,2.8
 210/ 159/ 6 (C),133.08,-4.68,-41.61,-0.52,7.13,2.8
 210/ 159/ 7 (C),89.89,-3.17,-27.22,-0.34,4.9,2.8
 211/ 157/ 6 (C),0,0,21.18,-3.99,0,2.775
 211/ 157/ 7 (C),0,0,14.88,-2.66,0,2.775
 211/ 158/ 6 (C),0,0,-23.54,-3.99,0,2.775
 211/ 158/ 7 (C),0,0,-15.93,-2.66,0,2.775
 212/ 125/ 6 (C),67.66,6.54,9.69,-0.52,7.94,2.8
 212/ 125/ 7 (C),46.99,4.35,6.34,-0.34,5.17,2.8
 212/ 158/ 6 (C),52.54,6.54,9.69,-0.52,-10.37,2.8
 212/ 158/ 7 (C),35.79,4.35,6.34,-0.34,-7.02,2.8
 213/ 156/ 6 (C),0,0,45.99,2.61,0,3.85
 213/ 156/ 7 (C),0,0,31.14,1.74,0,3.85
 213/ 157/ 6 (C),0,0,-29.97,2.61,0,3.85
 213/ 157/ 7 (C),0,0,-20.68,1.74,0,3.85
 214/ 124/ 6 (C),128.76,19.69,4.42,-0.52,25.11,2.8
 214/ 124/ 7 (C),88.6,12.82,2.82,-0.34,16.08,2.8
 214/ 157/ 6 (C),113.64,19.69,4.42,-0.52,-30.01,2.8
 214/ 157/ 7 (C),77.4,12.82,2.82,-0.34,-19.82,2.8
 215/ 155/ 6 (C),0,0,6.86,0.81,0,3.7
 215/ 155/ 7 (C),0,0,5.55,0.48,0,3.7
 215/ 156/ 6 (C),0,0,-64.32,0.81,0,3.7
 215/ 156/ 7 (C),0,0,-43.07,0.48,0,3.7
 216/ 123/ 6 (C),177.55,12.7,14.91,-0.52,15.93,2.8
 216/ 123/ 7 (C),120.3,8.19,9.74,-0.34,10.03,2.8
 216/ 156/ 6 (C),162.43,12.7,14.91,-0.52,-19.63,2.8
 216/ 156/ 7 (C),109.1,8.19,9.74,-0.34,-12.89,2.8
 217/ 154/ 6 (C),0,0,61.08,1.3,0,3.675
 217/ 154/ 7 (C),0,0,40.84,0.9,0,3.675
 217/ 155/ 6 (C),0,0,-9.31,1.3,0,3.675
 217/ 155/ 7 (C),0,0,-7.25,0.9,0,3.675
 218/ 122/ 6 (C),87.42,12.7,0.63,-0.52,15.95,2.8
 218/ 122/ 7 (C),61.7,8.22,0.46,-0.34,10,2.8
 218/ 155/ 6 (C),72.3,12.7,0.63,-0.52,-19.62,2.8
 218/ 155/ 7 (C),50.5,8.22,0.46,-0.34,-13.02,2.8
 219/ 121/ 6 (C),110.53,11.2,-36.58,-0.52,14.16,2.8
 219/ 121/ 7 (C),75.39,7.37,-24.02,-0.34,9.19,2.8
 219/ 154/ 6 (C),95.41,11.2,-36.58,-0.52,-17.21,2.8
 219/ 154/ 7 (C),64.19,7.37,-24.02,-0.34,-11.46,2.8
 220/ 152/ 6 (C),0,0,-40.46,0.32,0,3.775
 220/ 152/ 7 (C),0,0,-26.96,0.08,0,3.775
 220/ 153/ 6 (C),0,0,-119.15,0.32,0,3.775
 220/ 153/ 7 (C),0,0,-78.11,0.08,0,3.775
 221/ 145/ 6 (C),0,0,23.4,1.53,0,3.525
 221/ 145/ 7 (C),0,0,15.2,1.06,0,3.525
 221/ 153/ 6 (C),0,0,-46.99,1.53,0,3.525
 221/ 153/ 7 (C),0,0,-30.69,1.06,0,3.525
 222/ 120/ 6 (C),332.4,-13.64,53.65,-0.5,-19.41,2.8
 222/ 120/ 7 (C),221.98,-8.8,35.15,-0.33,-12.54,2.8
 222/ 153/ 6 (C),317.28,-13.64,53.65,-0.5,18.78,2.8
 222/ 153/ 7 (C),210.78,-8.8,35.15,-0.33,12.09,2.8
 223/ 151/ 6 (C),0,0,64.09,17.06,0,2.15
 223/ 151/ 7 (C),0,0,42.64,10.89,0,2.15
 223/ 152/ 6 (C),0,0,32.25,17.06,0,2.15
 223/ 152/ 7 (C),0,0,21.38,10.89,0,2.15
 224/ 143/ 6 (C),0,0,53.55,-0.01,0,3.525
 224/ 143/ 7 (C),0,0,34.38,0.17,0,3.525
 224/ 152/ 6 (C),0,0,-56.34,-0.01,0,3.525
 224/ 152/ 7 (C),0,0,-35.48,0.17,0,3.525
 225/ 119/ 6 (C),24.26,-11.66,-0.63,-0.5,-16.67,2.8
 225/ 119/ 7 (C),19.79,-6.98,-0.41,-0.33,-10.03,2.8
 225/ 152/ 6 (C),9.14,-11.66,-0.63,-0.5,15.99,2.8
 225/ 152/ 7 (C),8.59,-6.98,-0.41,-0.33,9.51,2.8
 226/ 150/ 6 (C),0,0,165.46,-21,0,1.825
 226/ 150/ 7 (C),0,0,108.27,-13.18,0,1.825
 226/ 151/ 6 (C),0,0,140.65,-21,0,1.825
 226/ 151/ 7 (C),0,0,91.57,-13.18,0,1.825
 227/ 142/ 6 (C),0,0,31.11,-25.85,0,3.525
 227/ 142/ 7 (C),0,0,19.58,-16.81,0,3.525
 227/ 151/ 6 (C),0,0,-76.55,-25.85,0,3.525
 227/ 151/ 7 (C),0,0,-48.93,-16.81,0,3.525
 228/ 149/ 6 (C),0,0,26.18,-32.2,0,2
 228/ 149/ 7 (C),0,0,17.02,-21.05,0,2
 228/ 150/ 6 (C),0,0,-8.45,-32.2,0,2
 228/ 150/ 7 (C),0,0,-5.8,-21.05,0,2
 229/ 117/ 6 (C),350.33,-5.72,-61.65,-0.5,-8.19,2.8
 229/ 117/ 7 (C),234.37,-3.57,-40.28,-0.33,-5.12,2.8
 229/ 150/ 6 (C),335.21,-5.72,-61.65,-0.5,7.84,2.8
 229/ 150/ 7 (C),223.17,-3.57,-40.28,-0.33,4.87,2.8
 230/ 148/ 6 (C),0,0,-77.13,7.14,0,1.225
 230/ 148/ 7 (C),0,0,-50.35,4.38,0,1.225
 230/ 149/ 6 (C),0,0,-96.66,7.14,0,1.225
 230/ 149/ 7 (C),0,0,-63.31,4.38,0,1.225
 231/ 116/ 6 (C),303.96,0.64,19.79,-0.5,0.9,2.8
 231/ 116/ 7 (C),202.9,0.51,13.05,-0.33,0.72,2.8
 231/ 149/ 6 (C),288.84,0.64,19.79,-0.5,-0.89,2.8
 231/ 149/ 7 (C),191.7,0.51,13.05,-0.33,-0.71,2.8
 232/ 147/ 6 (C),0,0,-14.32,3.65,0,2.35
 232/ 147/ 7 (C),0,0,-9.43,2.32,0,2.35
 232/ 148/ 6 (C),0,0,-50.9,3.65,0,2.35
 232/ 148/ 7 (C),0,0,-33.74,2.32,0,2.35
 233/ 139/ 6 (C),0,0,56.56,23.46,0,2.7
 233/ 139/ 7 (C),0,0,36.06,15.22,0,2.7
 233/ 148/ 6 (C),0,0,-26.24,23.46,0,2.7
 233/ 148/ 7 (C),0,0,-16.61,15.22,0,2.7
 234/ 146/ 6 (C),0,0,111.46,-1.17,0,2.675
 234/ 146/ 7 (C),0,0,73.37,-0.63,0,2.675
 234/ 147/ 6 (C),0,0,66.57,-1.17,0,2.675
 234/ 147/ 7 (C),0,0,43.72,-0.63,0,2.675
 235/ 134/ 6 (C),0,0,69.52,-0.24,0,4.325
 235/ 134/ 7 (C),0,0,44.16,-0.18,0,4.325
 235/ 147/ 6 (C),0,0,-75.13,-0.24,0,4.325
 235/ 147/ 7 (C),0,0,-47.5,-0.18,0,4.325
 236/ 114/ 6 (C),36.11,-17.78,-17.24,-0.5,-25.39,2.8
 236/ 114/ 7 (C),26.87,-11.03,-11.25,-0.33,-15.81,2.8
 236/ 147/ 6 (C),20.99,-17.78,-17.24,-0.5,24.39,2.8
 236/ 147/ 7 (C),15.67,-11.03,-11.25,-0.33,15.07,2.8
 237/ 133/ 6 (C),0,0,43.28,0.63,0,4.325
 237/ 133/ 7 (C),0,0,28.11,0.34,0,4.325
 237/ 146/ 6 (C),0,0,-45.85,0.63,0,4.325
 237/ 146/ 7 (C),0,0,-29.87,0.34,0,4.325
 238/ 113/ 6 (C),311.81,-11.5,-41.18,-0.5,-16.54,2.8
 238/ 113/ 7 (C),208.88,-7.34,-27.01,-0.33,-10.59,2.8
 238/ 146/ 6 (C),296.69,-11.5,-41.18,-0.5,15.66,2.8
 238/ 146/ 7 (C),197.68,-7.34,-27.01,-0.33,9.95,2.8
 239/ 144/ 6 (C),0,0,-46.18,-8.49,0,2.775
 239/ 144/ 7 (C),0,0,-31.45,-5.61,0,2.775
 239/ 145/ 6 (C),0,0,-139.1,-8.49,0,2.775
 239/ 145/ 7 (C),0,0,-90.33,-5.61,0,2.775
 240/ 138/ 6 (C),0,0,9.1,8.61,0,2.45
 240/ 138/ 7 (C),0,0,6.11,5.71,0,2.45
 240/ 145/ 6 (C),0,0,-29.94,8.61,0,2.45
 240/ 145/ 7 (C),0,0,-19.8,5.71,0,2.45
 241/ 112/ 6 (C),379.75,-4.34,49.62,-0.5,-6.18,2.8
 241/ 112/ 7 (C),252.48,-2.9,32.26,-0.33,-4.13,2.8
 241/ 145/ 6 (C),364.63,-4.34,49.62,-0.5,5.98,2.8
 241/ 145/ 7 (C),241.28,-2.9,32.26,-0.33,4,2.8
 242/ 143/ 6 (C),0,0,-42.23,-19.94,0,1
 242/ 143/ 7 (C),0,0,-26.58,-12.97,0,1
 242/ 144/ 6 (C),0,0,-62.81,-19.94,0,1
 242/ 144/ 7 (C),0,0,-39.97,-12.97,0,1
 243/ 137/ 6 (C),0,0,80.56,15.84,0,2.45
 243/ 137/ 7 (C),0,0,52.56,10.25,0,2.45
 243/ 144/ 6 (C),0,0,23.54,15.84,0,2.45
 243/ 144/ 7 (C),0,0,15.75,10.25,0,2.45
 244/ 111/ 6 (C),49.58,27.84,32.25,-0.5,39.66,2.8
 244/ 111/ 7 (C),37.55,18.31,20.89,-0.33,26.07,2.8
 244/ 144/ 6 (C),34.46,27.84,32.25,-0.5,-38.3,2.8
 244/ 144/ 7 (C),26.35,18.31,20.89,-0.33,-25.21,2.8
 245/ 142/ 6 (C),0,0,59.53,-6.21,0,2.15
 245/ 142/ 7 (C),0,0,39,-3.98,0,2.15
 245/ 143/ 6 (C),0,0,11.33,-6.21,0,2.15
 245/ 143/ 7 (C),0,0,7.81,-3.98,0,2.15
 246/ 140/ 6 (C),0,0,114.11,-43.88,0,1.175
 246/ 140/ 7 (C),0,0,73.87,-28.67,0,1.175
 246/ 142/ 6 (C),0,0,90.64,-43.88,0,1.175
 246/ 142/ 7 (C),0,0,58.58,-28.67,0,1.175
 247/ 140/ 6 (C),0,0,-110.3,-37.7,0,1.8
 247/ 140/ 7 (C),0,0,-70.87,-24.41,0,1.8
 247/ 141/ 6 (C),0,0,-159.83,-37.7,0,1.8
 247/ 141/ 7 (C),0,0,-102.54,-24.41,0,1.8
 248/ 136/ 6 (C),0,0,-97.59,39.57,0,1.275
 248/ 136/ 7 (C),0,0,-63.11,25.34,0,1.275
 248/ 141/ 6 (C),0,0,-127.88,39.57,0,1.275
 248/ 141/ 7 (C),0,0,-82.64,25.34,0,1.275
 249/ 108/ 6 (C),594.18,-10.59,27.47,-0.5,-15.24,2.8
 249/ 108/ 7 (C),392.02,-6.75,17.35,-0.33,-9.75,2.8
 249/ 141/ 6 (C),579.06,-10.59,27.47,-0.5,14.41,2.8
 249/ 141/ 7 (C),380.82,-6.75,17.35,-0.33,9.16,2.8
 250/ 139/ 6 (C),0,0,113.62,21.82,0,3.05
 250/ 139/ 7 (C),0,0,72.39,14.17,0,3.05
 250/ 140/ 6 (C),0,0,3.8,21.82,0,3.05
 250/ 140/ 7 (C),0,0,3.01,14.17,0,3.05
 251/ 135/ 6 (C),0,0,-48.3,-32.25,0,1.625
 251/ 135/ 7 (C),0,0,-31.43,-20.73,0,1.625
 251/ 139/ 6 (C),0,0,-97.36,-32.25,0,1.625
 251/ 139/ 7 (C),0,0,-62.67,-20.73,0,1.625
 252/ 106/ 6 (C),550.04,-3.57,-20.53,-0.5,-4.92,2.8
 252/ 106/ 7 (C),362.87,-2.27,-12.78,-0.33,-3.13,2.8
 252/ 139/ 6 (C),534.92,-3.57,-20.53,-0.5,5.08,2.8
 252/ 139/ 7 (C),351.67,-2.27,-12.78,-0.33,3.23,2.8
 253/ 137/ 6 (C),0,0,-4.72,-18.25,0,2.775
 253/ 137/ 7 (C),0,0,-3.5,-11.96,0,2.775
 253/ 138/ 6 (C),0,0,-86.06,-18.25,0,2.775
 253/ 138/ 7 (C),0,0,-55.35,-11.96,0,2.775
 254/ 132/ 6 (C),0,0,7.04,3.72,0,2
 254/ 132/ 7 (C),0,0,4.76,2.46,0,2
 254/ 138/ 6 (C),0,0,-21.46,3.72,0,2
 254/ 138/ 7 (C),0,0,-14.34,2.46,0,2
 255/ 105/ 6 (C),239.66,-1.52,25.37,-0.5,-2.15,2.8
 255/ 105/ 7 (C),160.62,-1.01,16.24,-0.33,-1.43,2.8
 255/ 138/ 6 (C),224.54,-1.52,25.37,-0.5,2.1,2.8
 255/ 138/ 7 (C),149.42,-1.01,16.24,-0.33,1.4,2.8
 256/ 136/ 6 (C),0,0,104.54,40.65,0,1.35
 256/ 136/ 7 (C),0,0,67.69,26.55,0,1.35
 256/ 137/ 6 (C),0,0,75.84,40.65,0,1.35
 256/ 137/ 7 (C),0,0,49.06,26.55,0,1.35
 257/ 130/ 6 (C),0,0,63.48,-6.24,0,2
 257/ 130/ 7 (C),0,0,40.69,-4.13,0,2
 257/ 136/ 6 (C),0,0,6.95,-6.24,0,2
 257/ 136/ 7 (C),0,0,4.59,-4.13,0,2
 258/ 134/ 6 (C),0,0,-19.68,-5.17,0,2.35
 258/ 134/ 7 (C),0,0,-13.37,-3.25,0,2.35
 258/ 135/ 6 (C),0,0,-80.22,-5.17,0,2.35
 258/ 135/ 7 (C),0,0,-52.23,-3.25,0,2.35
 259/ 128/ 6 (C),0,0,73.69,12.1,0,1.65
 259/ 128/ 7 (C),0,0,47.62,8.1,0,1.65
 259/ 135/ 6 (C),0,0,31.93,12.1,0,1.65
 259/ 135/ 7 (C),0,0,20.79,8.1,0,1.65
 260/ 133/ 6 (C),0,0,121.68,2.01,0,2.675
 260/ 133/ 7 (C),0,0,78.96,1.23,0,2.675
 260/ 134/ 6 (C),0,0,48.79,2.01,0,2.675
 260/ 134/ 7 (C),0,0,32.32,1.23,0,2.675
 261/ 101/ 6 (C),50.89,13.01,-11.52,-0.5,18.62,2.8
